"key","message","comment","context"
"Account","Compte",,
"Accounting","Comptabilité",,
"Accounts",,,
"Code",,,
"Contact",,,
"Contacts",,,
"Credit",,,
"Data",,,
"Debit",,,
"Documents",,,
"Estimaed invoice date","Date de facturation estimée",,
"Full name",,,
"Generate Invoice",,,
"Invoice",,,
"Invoice updated",,,
"Move","Écriture",,
"Move Line","Ligne d'écriture",,
"Move Lines","Lignes d'écriture",,
"Move line","Ligne d'écriture",,
"Move lines","Lignes d'écriture",,
"Moves",,,
"Name",,,
"Operation date","Date de l'opération",,
"Overview",,,
"Product",,,
"Products",,,
"Reference",,,
"Sale order",,,
"Sale orders",,,
"Teamwork",,,
