"key","message","comment","context"
"Accepted","Accepté",,
"Address","Adresse",,
"Addresses","Adresses",,
"Apply taxes","Appliquer les taxes",,
"Cancelled","Annulé",,
"Cards",,,
"City","Ville",,
"Code",,,
"Configuration",,,
"Contact",,,
"Contacts",,,
"Countries","Pays",,
"Country","Pays",,
"Date of birth","Date de naissance",,
"Dates are incorrect","Les dates sont incorrectes",,
"Draft","Brouillon",,
"Email",,,
"End date","Date fin",,
"Event","Évènement",,
"Event Calender",,,
"Events","Évènements",,
"Family members","Membres de famille",,
"Finished","Fini",,
"First name","Prénom",,
"FullName","Nom complet",,
"Kanban",,,
"Last name","Nom",,
"MainPanel",,,
"Meeting","Rendez-vous",,
"Missing contact","Rendez-vous",,
"Name","Nom",,
"Notes",,,
"N° / Street","Numéro de voie",,
"Other","Autre",,
"Other Informations","Autres informations",,
"Phone Call","Appel téléphonique",,
"Phone number","Téléphone",,
"Planned for","Planifié pour",,
"Postponed","Reporté",,
"Profile","Profile",,
"Proposed","Proposé",,
"Refused","Refusé",,
"Related sale order details","Détails de commande liés",,
"Sale Orders","Commandes de vente",,
"Should be > to 1930","Doit être supérieur à 1930",,
"Start date","Date début",,
"Status","Statut",,
"Title","Titre",,
"Titles","Titles",,
"Type",,,
"Upcoming events",,,
"User created!",,,
"Zip","Code postal",,
"mainPanel",,,
"profile picture","Photo de profile",,
