"key","message","comment","context"
"Amount invoiced per month over 3 months","Montant facturé sur trois mois",,
"Dashboard","Tableau de bord",,
"Dashboards","Tableaux de bord",,
"Home Dashboard","Accueil",,
"Invoice amount","Montant facturé",,
"Last month sales per product catagory","Vente du dernier mois par catégorie de produit",,
"Month","Mois",,
"Product catagory","Catégorie de produit",,
"Sum of totals ex tax","Somme des totaux HT",,
"Turn over per customer","Chiffres d'affaire par client",,
"Upcoming events","Évènements à venir",,
