"key","message","comment","context"
"!",,,
"Actions",,,
"Cancel order","Annuler",,
"Cancelled","Annulée",,
"Cancle Invoice",,,
"Customer","Client",,
"Data",,,
"Dates",,,
"Discription",,,
"Do you really want to cancle the selected invoice(s)? <br> Ventilated invoices will not cancelled!",,,
"Draft","Brouillon",,
"Invoice","Facture",,
"Invoice date","Date de facturation",,
"Invoice line","Ligne de facture",,
"Invoice line list","",,
"InvoiceLine",,,
"InvoiceLines",,,
"Invoices","Factures",,
"Invoices to merge",,,
"Merge Invoice",,,
"Merge Invoices",,,
"Merge into single invoice",,,
"Merged invoice list",,,
"Please select at least one invoice",,,
"Prices","Prix",,
"Product","Produit",,
"Quantity",,,
"Related Invoice",,,
"Sale order","Commande de vente",,
"Sale order line","Lignes de commande de vente",,
"SaleOrder","Commande de vente",,
"Sequence","Séquence",,
"Status","Statut",,
"Tax rate","Taux de taxe",,
"Total price with tax","TTC",,
"Total price witout tax","HT",,
"Total with tax","TTC",,
"Total without tax","HT",,
"Unit price untaxed","Prix unitaire HT",,
"Validate","Valider",,
"Validated","Validée",,
"Ventilate","Ventiler",,
"Ventilated","Ventilée",,
"You have to choose at least two invoices",,,
