"key","message","comment","context"
"All sale order","Toutes les commandes de vente",,
"Cancel Order","Annuler",,
"Cancelled","Annulée",,
"Cancelled Lines","Lignes annulées",,
"Cancelling the order is definitive! Do you want to continue?","L'annulation de la commande est définitive ! Voulez-vous continuer?",,
"Code",,,
"Configuration",,,
"Confirm Order","Confirmer la commande",,
"Confirmation Date","Date de confirmation",,
"Confirmed","Confirmée",,
"Confirmed Lines","Lignes confirmées",,
"Customer","Client",,
"Data","Données",,
"Dates",,,
"Discription",,,
"Draft","Brouillon",,
"Draft Lines","Lignes brouillons",,
"Export Data",,,
"Finalize Quotation","Finaliser",,
"Full name","Nom complet",,
"Icon",,,
"Icon select",,,
"Image",,,
"Name","Nom",,
"Please fill at least one saleorder line.","Veuillez remplir au moins une ligne de commande.",,
"Please fill the product first","Veuillez tout d'abord remplir le produit",,
"Please select at least one line.","Veuillez sélectionner au moins une ligne",,
"Prestation",,,
"Prices","Prix",,
"Product","Produit",,
"Product Catagories","Catégories",,
"Product Catagories tree","Arbre de catégories",,
"Product Catagory","Catégorie",,
"Product Catagory record",,,
"Product catagories","Catégories",,
"Product catagories tree","Arbre de catégories",,
"Productcatagory","Catégorie",,
"Products","Produits",,
"Quantity","Quantité",,
"Quotation","Devis",,
"Quotation Date","Date de devis",,
"Quotation Lines","Lignes de devis",,
"Quotation sale orders","Devis de vente",,
"Sale","Vente",,
"Sale Order Line","Ligne de commande",,
"Sale order","Commande de vente",,
"Sale order Lines","Lignes de commande de vente",,
"Sale order lines","Lignes de commande de vente",,
"Sale order status select",,,
"Sale orders","Commandes de vente",,
"SaleOrder","Commande de vente",,
"SaleOrderLine","Ligne de commande",,
"SaleOrderLines","Lignes de commande de vente",,
"SaleOrders","Commandes de vente",,
"Sales",,,
"Search Lines",,,
"Sequence","Séquence",,
"Status","Statut",,
"Taxe rate","Taux de taxe",,
"There is a detail line with 0 total price. Please correct it.","Il existe une ligne de détail avec un prix total de zéro. Corrigez cela         s'il-vous-plaît.",,
"Total with tax","TTC",,
"Total without tax","HT",,
"Unit price untaxed",,,
"mainPanel","Prix unitaire HT",,
